TransactionID,SellerID,BuyerID,Amount(INR),Date
txn_63,TxUI153894,TxUI174,120525,1/21/2013
txn_64,TxUI228251,TxUI166,56214,11/25/2012
txn_65,TxUI151921,TxUI160,131256,3/22/2013
txn_66,TxUI296691,TxUI112,79020,7/14/2012
txn_67,TxUI47459,TxUI195,53667,9/5/2012
txn_68,TxUI33014,TxUI126,36990,10/10/2013
txn_69,TxUI95892,TxUI123,249861,3/18/2013
txn_70,TxUI1757,TxUI176,141711,3/4/2012
txn_71,TxUI129562,TxUI141,219627,2/18/2012
txn_72,TxUI3872,TxUI148,252648,11/29/2012
txn_73,TxUI195216,TxUI157,257310,5/16/2011
txn_74,TxUI22334,TxUI178,205650,5/3/2011
txn_75,TxUI62583,TxUI124,103266,12/27/2010
txn_76,TxUI139221,TxUI123,134292,12/9/2014
txn_77,TxUI335538,TxUI147,194616,11/3/2014
txn_78,TxUI188173,TxUI192,38162,7/10/2014
txn_79,TxUI5880,TxUI185,54434,10/7/2014
txn_80,TxUI9631,TxUI156,144276,9/8/2014
txn_81,TxUI158062,TxUI197,100138,2/16/2014
txn_82,TxUI19644,TxUI115,55420,2/5/2014
txn_83,TxUI14662,TxUI128,96996,1/28/2014
txn_84,TxUI41669,TxUI150,22464,2/8/2014
txn_85,TxUI119891,TxUI191,75922,1/23/2014
txn_86,TxUI331942,TxUI192,167144,12/17/2013
txn_87,TxUI186774,TxUI193,21970,4/2/2014
txn_88,TxUI89628,TxUI182,76190,11/10/2013
txn_89,TxUI61726,TxUI146,119412,11/8/2013
txn_90,TxUI330059,TxUI124,109128,9/27/2013
txn_91,TxUI187771,TxUI127,188480,9/5/2013
txn_92,TxUI46233,TxUI151,91782,9/5/2013
txn_93,TxUI327943,TxUI121,194866,8/5/2013
txn_94,TxUI45411,TxUI199,189096,12/17/2013
txn_95,TxUI186015,TxUI145,105158,6/14/2013
txn_96,TxUI12123,TxUI152,158848,6/4/2013
txn_97,TxUI15118,TxUI190,180750,8/13/2013
txn_98,TxUI157068,TxUI152,77848,7/13/2013
txn_99,TxUI157369,TxUI192,117178,8/25/2014
txn_100,TxUI106366,TxUI173,30390,4/14/2013
txn_101,TxUI135327,TxUI122,97380,6/8/2014
txn_102,TxUI45996,TxUI150,159492,7/4/2013
txn_103,TxUI233425,TxUI153,78064,3/22/2013
txn_104,TxUI126795,TxUI162,132838,3/15/2013
txn_105,TxUI106069,TxUI186,51300,3/1/2013
txn_106,TxUI106161,TxUI182,166956,2/23/2013
txn_107,TxUI743147,TxUI178,59700,3/5/2013
txn_108,TxUI135532,TxUI175,118676,8/19/2013
txn_109,TxUI7117,TxUI110,46648,12/9/2012
txn_110,TxUI307027,TxUI141,41878,11/27/2012
txn_111,TxUI211328,TxUI130,66992,11/12/2012
txn_112,TxUI300114,TxUI186,60956,11/11/2012
txn_113,TxUI39619,TxUI139,70478,11/9/2012
txn_114,TxUI226057,TxUI147,132156,10/17/2012
txn_115,TxUI14219,TxUI188,143780,4/10/2013
txn_116,TxUI223889,TxUI119,161816,8/5/2012
txn_117,TxUI12327,TxUI179,169728,8/2/2012
txn_118,TxUI294271,TxUI184,71306,9/18/2012
txn_119,TxUI150922,TxUI117,140496,6/18/2012
txn_120,TxUI741042,TxUI196,101338,5/22/2012
txn_121,TxUI176076,TxUI144,134270,4/26/2012
txn_122,TxUI287660,TxUI117,151184,3/30/2012
txn_123,TxUI25989,TxUI131,140724,4/14/2014
txn_124,TxUI149324,TxUI159,159176,3/27/2012
txn_125,TxUI284579,TxUI127,111164,2/16/2012
txn_126,TxUI37010,TxUI185,156896,2/13/2012
txn_127,TxUI284440,TxUI141,158736,2/11/2012
txn_128,TxUI216729,TxUI111,138430,1/24/2012
txn_129,TxUI15651,TxUI119,120268,1/5/2012
txn_130,TxUI280893,TxUI147,89908,12/15/2011
txn_131,TxUI25527,TxUI179,111258,12/6/2011
txn_132,TxUI73620,TxUI125,190156,12/20/2011
txn_133,TxUI760367,TxUI158,75474,11/10/2011
txn_134,TxUI34646,TxUI145,182598,4/8/2012
txn_135,TxUI954,TxUI139,156374,2/17/2012
txn_136,TxUI7516,TxUI132,168746,11/7/2011
txn_137,TxUI17552,TxUI169,29002,10/18/2011
txn_138,TxUI275411,TxUI170,179726,9/29/2011
txn_139,TxUI2275,TxUI135,195606,11/8/2011
txn_140,TxUI15584,TxUI144,85492,7/22/2011
txn_141,TxUI126196,TxUI189,63324,6/29/2011
txn_142,TxUI255251,TxUI198,138030,6/12/2011
txn_143,TxUI258676,TxUI122,196326,6/9/2011
txn_144,TxUI71057,TxUI154,190864,8/28/2011
txn_145,TxUI57849,TxUI130,164028,6/6/2011
txn_146,TxUI47231,TxUI183,109134,5/31/2011
txn_147,TxUI247251,TxUI155,123996,5/3/2011
txn_148,TxUI160611,TxUI129,196666,4/6/2011
txn_149,TxUI433,TxUI141,72032,3/9/2011
txn_150,TxUI56388,TxUI165,77936,8/9/2011
txn_151,TxUI74436,TxUI162,65176,1/9/2011
txn_152,TxUI342279,TxUI129,45214,1/4/2015
txn_153,TxUI25092,TxUI110,36051,12/12/2014
txn_154,TxUI24939,TxUI120,24034,12/9/2014
txn_155,TxUI242785,TxUI157,75828,11/27/2014
txn_156,TxUI341435,TxUI184,32272,11/26/2014
txn_157,TxUI159050,TxUI196,51136,10/31/2014
txn_158,TxUI230511,TxUI147,49411,9/28/2014
txn_159,TxUI190035,TxUI134,62070,9/22/2014
txn_160,TxUI339236,TxUI196,32380,7/28/2014
txn_161,TxUI106570,TxUI160,98425,7/18/2014
txn_162,TxUI114789,TxUI181,22349,6/10/2014
txn_163,TxUI107286,TxUI185,20269,6/8/2014
txn_164,TxUI337583,TxUI180,80807,5/4/2014
txn_165,TxUI102479,TxUI117,55775,4/7/2014
txn_166,TxUI70987,TxUI194,74447,4/3/2014
txn_167,TxUI138234,TxUI110,22556,2/10/2014
txn_168,TxUI333242,TxUI163,16724,12/5/2013
txn_169,TxUI188567,TxUI199,56962,11/30/2013
txn_170,TxUI333072,TxUI163,86654,11/29/2013
txn_171,TxUI119777,TxUI178,79009,11/23/2013
txn_172,TxUI331616,TxUI179,33753,11/23/2013
txn_173,TxUI188636,TxUI143,97688,11/20/2013
txn_174,TxUI15447,TxUI187,32104,11/19/2013
txn_175,TxUI152253,TxUI111,55553,9/23/2013
txn_176,TxUI239110,TxUI112,55749,9/14/2013
txn_177,TxUI329825,TxUI162,62412,9/3/2013
txn_178,TxUI43230,TxUI144,95023,8/31/2013
txn_179,TxUI329232,TxUI176,29515,8/27/2013
txn_180,TxUI329078,TxUI183,60334,8/27/2013
txn_181,TxUI759712,TxUI174,73916,8/9/2013
txn_182,TxUI327493,TxUI144,15590,8/3/2013
txn_183,TxUI187510,TxUI166,84545,8/2/2013
txn_184,TxUI29162,TxUI158,23609,7/27/2013
txn_185,TxUI15861,TxUI124,32209,7/26/2013
txn_186,TxUI157945,TxUI132,11870,7/23/2013
txn_187,TxUI184625,TxUI127,85472,6/28/2013
txn_188,TxUI106643,TxUI192,90891,6/28/2013
txn_189,TxUI29093,TxUI151,81553,5/24/2013
txn_190,TxUI323388,TxUI175,97025,5/19/2013
txn_191,TxUI89164,TxUI120,62598,5/16/2013
txn_192,TxUI24799,TxUI171,93419,7/8/2013
txn_193,TxUI185671,TxUI147,48832,5/2/2013
txn_194,TxUI321175,TxUI147,80599,5/3/2013
txn_195,TxUI11585,TxUI142,60544,5/1/2013
txn_196,TxUI136593,TxUI136,71258,4/26/2013
txn_197,TxUI48317,TxUI145,35154,4/25/2013
txn_198,TxUI321075,TxUI113,94532,4/20/2013
txn_199,TxUI318939,TxUI135,57053,4/17/2013
txn_200,TxUI319346,TxUI125,65070,4/16/2013
txn_201,TxUI235265,TxUI166,60649,4/14/2013
txn_202,TxUI184749,TxUI146,51330,4/13/2013
txn_203,TxUI317393,TxUI161,51486,4/7/2013
txn_204,TxUI105145,TxUI134,51151,4/4/2013
txn_205,TxUI184376,TxUI130,29826,4/1/2013
txn_206,TxUI234218,TxUI165,17689,3/30/2013
txn_207,TxUI734159,TxUI194,20245,3/29/2013
txn_208,TxUI313970,TxUI186,82377,3/29/2013
txn_209,TxUI118616,TxUI157,42508,3/28/2013
txn_210,TxUI316784,TxUI163,22978,3/28/2013
txn_211,TxUI314913,TxUI184,40810,3/26/2013
txn_212,TxUI184257,TxUI180,42309,3/25/2013
txn_213,TxUI315621,TxUI148,23949,3/18/2013
txn_214,TxUI314178,TxUI141,96062,3/15/2013
txn_215,TxUI81719,TxUI128,62823,3/14/2013
txn_216,TxUI184019,TxUI193,90841,3/11/2013
txn_217,TxUI183977,TxUI157,89490,3/11/2013
txn_218,TxUI232461,TxUI199,34335,3/8/2013
txn_219,TxUI314377,TxUI179,13536,3/8/2013
txn_220,TxUI314283,TxUI167,97667,3/5/2013
txn_221,TxUI17426,TxUI160,42542,2/20/2013
txn_222,TxUI231584,TxUI194,22859,2/12/2013
txn_223,TxUI135630,TxUI136,21903,2/7/2013
txn_224,TxUI183566,TxUI172,65949,2/3/2013
txn_225,TxUI29681,TxUI151,73663,2/2/2013
txn_226,TxUI311835,TxUI149,60834,4/15/2013
txn_227,TxUI154218,TxUI119,52643,1/29/2013
txn_228,TxUI311135,TxUI190,75435,1/17/2013
txn_229,TxUI75338,TxUI156,43923,1/14/2013
txn_230,TxUI308834,TxUI124,82207,12/19/2012
txn_231,TxUI39579,TxUI170,95276,12/18/2012
txn_232,TxUI306848,TxUI113,77556,12/7/2012
txn_233,TxUI304230,TxUI134,46278,12/6/2012
txn_234,TxUI144273,TxUI172,84215,12/5/2012
txn_235,TxUI133957,TxUI186,85971,12/17/2012
txn_236,TxUI59663,TxUI155,58668,12/2/2012
txn_237,TxUI228147,TxUI126,91620,11/27/2012
txn_238,TxUI22294,TxUI136,55771,11/23/2012
txn_239,TxUI19450,TxUI143,62888,11/23/2012
txn_240,TxUI306466,TxUI150,98941,11/23/2012
txn_241,TxUI181219,TxUI171,75883,11/22/2012
txn_242,TxUI179691,TxUI124,91541,11/20/2012
txn_243,TxUI70140,TxUI156,19316,11/18/2012
txn_244,TxUI12474,TxUI125,92081,11/15/2012
txn_245,TxUI305748,TxUI153,74629,11/13/2012
txn_246,TxUI742749,TxUI169,46423,11/14/2012
txn_247,TxUI227689,TxUI191,63500,11/9/2012
txn_248,TxUI227163,TxUI140,35457,10/31/2012
txn_249,TxUI152557,TxUI159,82116,10/19/2012
txn_250,TxUI223578,TxUI149,15882,10/17/2012
txn_251,TxUI302742,TxUI189,21689,10/16/2012
txn_252,TxUI209071,TxUI185,79550,10/15/2012
txn_253,TxUI134215,TxUI153,34057,10/12/2012
txn_254,TxUI33181,TxUI174,76887,10/12/2012
txn_255,TxUI302386,TxUI129,93473,10/10/2012
txn_256,TxUI226143,TxUI139,62580,10/10/2012
txn_257,TxUI6864,TxUI126,13827,10/10/2012
txn_258,TxUI11696,TxUI165,52157,10/7/2012
txn_259,TxUI104320,TxUI197,37157,10/7/2012
txn_260,TxUI302035,TxUI194,39487,9/30/2012
txn_261,TxUI49150,TxUI145,73525,9/24/2012
txn_262,TxUI17935,TxUI153,10985,9/23/2012
txn_263,TxUI225254,TxUI156,29465,10/3/2012
txn_264,TxUI21468,TxUI143,56980,9/20/2012
txn_265,TxUI43910,TxUI160,26617,9/18/2012
txn_266,TxUI214769,TxUI181,92667,9/16/2012
txn_267,TxUI116796,TxUI173,84427,9/13/2012
txn_268,TxUI69775,TxUI133,23214,9/9/2012
txn_269,TxUI6742,TxUI130,52518,9/9/2012
txn_270,TxUI179381,TxUI111,28755,9/8/2012
txn_271,TxUI25854,TxUI178,46520,9/4/2012
txn_272,TxUI134017,TxUI137,61702,9/1/2012
txn_273,TxUI299694,TxUI162,28328,8/30/2012
txn_274,TxUI152092,TxUI161,21042,8/24/2012
txn_275,TxUI133682,TxUI157,91513,8/19/2012
txn_276,TxUI3025,TxUI177,65899,8/19/2012
txn_277,TxUI17860,TxUI145,29483,9/20/2012
txn_278,TxUI1583H,TxUI1H,22655,7/17/2012
txn_279,TxUI87H,TxUI1H,34461,7/4/2012
txn_280,TxUI37H,TxUI7188H,34565,6/22/2012
txn_281,TxUI7188H,TxUI3134H,72301,6/18/2012
txn_282,TxUI821H,TxUI1H,30505,6/13/2012
txn_283,TxUI237H,TxUI151H,51265,6/11/2012
txn_284,TxUI2930,TxUI141,75143,6/6/2012
txn_285,TxUI151054,TxUI142,33895,6/1/2012
txn_286,TxUI292757,TxUI124,62956,5/29/2012
txn_287,TxUI30125,TxUI125,37998,5/16/2012
txn_288,TxUI290780,TxUI146,39439,5/5/2012
txn_289,TxUI290979,TxUI114,84705,5/2/2012
txn_290,TxUI114883,TxUI161,83098,4/26/2012
txn_291,TxUI95535,TxUI175,16250,4/25/2012
txn_292,TxUI150221,TxUI193,98496,4/22/2012
txn_293,TxUI285343,TxUI181,40050,4/20/2012
txn_294,TxUI150032,TxUI191,59479,4/18/2012
txn_295,TxUI217818,TxUI165,32985,4/18/2012
txn_296,TxUI132016,TxUI116,94217,4/17/2012
txn_297,TxUI87465,TxUI190,76293,4/17/2012
txn_298,TxUI217722,TxUI189,76250,4/12/2012
txn_299,TxUI289263,TxUI161,44292,4/11/2012
txn_300,TxUI63643,TxUI152,93066,4/2/2013
txn_301,TxUI103455,TxUI143,22558,4/16/2012
txn_302,TxUI149479,TxUI195,38084,4/4/2012
txn_303,TxUI27631,TxUI190,30890,4/2/2012
txn_304,TxUI131849,TxUI115,21719,3/30/2012
txn_305,TxUI11721,TxUI120,32128,3/28/2012
txn_306,TxUI149288,TxUI150,73410,3/21/2012
txn_307,TxUI130234,TxUI189,63485,3/21/2012
txn_308,TxUI131343,TxUI159,93346,3/19/2012
txn_309,TxUI149171,TxUI126,56039,3/17/2012
txn_310,TxUI287038,TxUI153,42663,3/14/2012
txn_311,TxUI218125,TxUI117,73498,3/12/2012
txn_312,TxUI130988,TxUI147,87713,3/2/2012
txn_313,TxUI175033,TxUI110,98228,2/26/2012
txn_314,TxUI284898,TxUI156,86781,2/23/2012
txn_315,TxUI145883,TxUI184,19083,2/20/2012
txn_316,TxUI95129,TxUI118,22646,2/19/2012
txn_317,TxUI102944,TxUI124,88469,2/19/2012
txn_318,TxUI217611,TxUI152,25562,2/14/2012
txn_319,TxUI284697,TxUI146,22108,2/13/2012
txn_320,TxUI34797,TxUI156,98442,2/12/2012
txn_321,TxUI217359,TxUI164,26597,2/10/2012
txn_322,TxUI282665,TxUI140,86653,1/20/2012
txn_323,TxUI174249,TxUI135,69063,6/28/2012
txn_324,TxUI216623,TxUI191,34076,1/17/2012
txn_325,TxUI282313,TxUI123,47737,1/11/2012
txn_326,TxUI282068,TxUI112,55177,1/2/2012
txn_327,TxUI281458,TxUI112,74124,12/27/2011
txn_328,TxUI173659,TxUI111,49277,12/23/2011
txn_329,TxUI102557,TxUI143,75825,12/21/2011
txn_330,TxUI148271,TxUI131,29516,12/20/2011
txn_331,TxUI148328,TxUI187,85768,12/19/2011
txn_332,TxUI215291,TxUI185,83508,11/5/2012
txn_333,TxUI280668,TxUI160,90900,12/8/2011
txn_334,TxUI112866,TxUI163,51136,12/3/2011
txn_335,TxUI280198,TxUI148,26327,11/30/2011
txn_336,TxUI279577,TxUI129,45883,11/24/2011
txn_337,TxUI129016,TxUI192,12521,11/24/2011
txn_338,TxUI128843,TxUI170,39293,11/22/2011
txn_339,TxUI143651,TxUI112,79060,11/18/2011
txn_340,TxUI249895,TxUI172,89121,11/16/2011
txn_341,TxUI278451,TxUI134,53458,11/11/2011
txn_342,TxUI58782,TxUI148,61543,11/8/2011
txn_343,TxUI278025,TxUI152,96540,11/3/2011
txn_344,TxUI277984,TxUI115,71191,11/1/2011
txn_345,TxUI30559,TxUI153,83730,11/1/2011
txn_346,TxUI94424,TxUI186,65779,11/1/2011
txn_347,TxUI212978,TxUI151,93029,10/25/2011
txn_348,TxUI68378,TxUI147,17515,10/24/2011
txn_349,TxUI4254,TxUI180,59233,10/22/2011
txn_350,TxUI113631,TxUI164,69529,10/16/2011
txn_351,TxUI128344,TxUI114,31065,10/14/2011
txn_352,TxUI212721,TxUI160,37614,10/3/2011
txn_353,TxUI209340,TxUI110,98677,9/22/2011
txn_354,TxUI128481,TxUI155,93677,9/20/2011
txn_355,TxUI7230,TxUI185,52589,9/18/2011
txn_356,TxUI26475,TxUI173,39982,9/17/2011
txn_357,TxUI275620,TxUI127,94678,9/16/2011
txn_358,TxUI128567,TxUI161,30535,9/15/2011
txn_359,TxUI61349,TxUI181,52293,9/15/2011
txn_360,TxUI30464,TxUI159,35830,9/13/2011
txn_361,TxUI128220,TxUI179,30544,9/13/2011
txn_362,TxUI472127,TxUI121,54021,9/11/2011
txn_363,TxUI147575,TxUI166,86383,9/3/2011
txn_364,TxUI274661,TxUI138,59872,9/1/2011
txn_365,TxUI171580,TxUI164,49309,8/30/2011
txn_366,TxUI73468,TxUI181,26080,8/27/2011
txn_367,TxUI210889,TxUI159,92336,8/26/2011
txn_368,TxUI192320,TxUI173,53163,8/24/2011
txn_369,TxUI146572,TxUI138,25344,8/22/2011
txn_370,TxUI274221,TxUI194,71873,8/19/2011
txn_371,TxUI211784,TxUI147,39503,8/18/2011
txn_372,TxUI172036,TxUI125,44105,8/16/2011
txn_373,TxUI9079,TxUI130,44774,8/16/2011
txn_374,TxUI273198,TxUI113,95767,8/9/2011
txn_375,TxUI145759,TxUI167,38525,8/8/2011
txn_376,TxUI272536,TxUI144,47115,8/8/2011
txn_377,TxUI210918,TxUI166,70740,7/25/2011
txn_378,TxUI54373,TxUI172,34684,8/5/2011
txn_379,TxUI210241,TxUI151,25753,7/19/2011
txn_380,TxUI71218,TxUI145,98496,7/10/2011
txn_381,TxUI23138,TxUI199,59487,7/20/2011
txn_382,TxUI268744,TxUI187,79304,7/6/2011
txn_383,TxUI170843,TxUI111,27613,7/4/2011
txn_384,TxUI112912,TxUI126,53411,7/3/2011
txn_385,TxUI7666,TxUI171,73157,6/29/2011
txn_386,TxUI206540,TxUI129,66183,6/12/2011
txn_387,TxUI125196,TxUI146,61326,6/8/2011
txn_388,TxUI124847,TxUI148,42138,6/7/2011
txn_389,TxUI72515,TxUI199,92969,6/4/2011
txn_390,TxUI255995,TxUI168,25898,6/3/2011
txn_391,TxUI50762,TxUI176,28603,5/30/2011
txn_392,TxUI194228,TxUI114,73201,5/9/2011
txn_393,TxUI123282,TxUI156,45438,5/6/2011
txn_394,TxUI53498,TxUI137,34114,5/5/2011
txn_395,TxUI99441,TxUI110,60636,4/30/2011
txn_396,TxUI50327,TxUI136,67218,4/26/2011
txn_397,TxUI244859,TxUI125,47278,4/12/2011
txn_398,TxUI84620,TxUI191,70702,4/5/2011
txn_399,TxUI164,TxUI16019,372030,9/28/2011
txn_400,TxUI171,TxUI102880,420427,9/28/2012
txn_401,TxUI183,TxUI30990,321390,9/5/2013
txn_402,TxUI154,TxUI1134,476260,6/24/2013
txn_403,TxUI156,TxUI59462,251780,6/10/2013
txn_404,TxUI127,TxUI131688,193130,11/19/2012
txn_405,TxUI123,TxUI139293,383072,11/26/2014
txn_406,TxUI144,TxUI158322,193776,10/5/2013
txn_407,TxUI123,TxUI88866,213924,4/11/2013
txn_408,TxUI166,TxUI63759,72852,12/17/2014
txn_409,TxUI149,TxUI152022,101208,10/7/2014
txn_410,TxUI113,TxUI1815,218156,9/2/2011
txn_411,TxUI165,TxUI3550,294600,3/1/2012
txn_412,TxUI157,TxUI190185,264669,9/27/2014
txn_413,TxUI185,TxUI4496,109929,11/13/2014
txn_414,TxUI189,TxUI1047,32619,7/31/2013
txn_415,TxUI140,TxUI78374,174699,5/16/2013
txn_416,TxUI189,TxUI82145,289128,5/21/2013
txn_417,TxUI131,TxUI11297,113739,3/6/2013
txn_418,TxUI179,TxUI96490,173280,10/14/2012
txn_419,TxUI143,TxUI8970,182478,8/21/2012
txn_420,TxUI125,TxUI2049,265374,7/18/2012
txn_421,TxUI171,TxUI25695,32238,7/23/2012
txn_422,TxUI177,TxUI22384,137637,5/5/2011
txn_423,TxUI131,TxUI188133,94784,1/3/2015
txn_424,TxUI185,TxUI35119,65446,8/30/2014
txn_425,TxUI128,TxUI19662,35286,2/5/2014
txn_426,TxUI195,TxUI41629,20882,2/8/2014
txn_427,TxUI148,TxUI187799,118128,9/11/2013
txn_428,TxUI116,TxUI8728,70380,10/2/2013
txn_429,TxUI129,TxUI236777,67924,6/20/2013
txn_430,TxUI133,TxUI325483,112578,6/28/2013
txn_431,TxUI114,TxUI157374,63038,8/25/2014
txn_432,TxUI124,TxUI24712,76210,7/8/2013
txn_433,TxUI120,TxUI135389,58860,6/8/2014
txn_434,TxUI140,TxUI49348,66444,3/19/2013
txn_435,TxUI128,TxUI135858,40766,7/2/2013
txn_436,TxUI175,TxUI117772,149720,2/28/2013
txn_437,TxUI114,TxUI153863,123480,1/14/2013
txn_438,TxUI133,TxUI229631,79310,2/4/2013
txn_439,TxUI172,TxUI22298,125488,12/7/2013
txn_440,TxUI164,TxUI228289,187372,11/25/2012
txn_441,TxUI111,TxUI211380,189286,11/12/2012
txn_442,TxUI165,TxUI226054,162184,10/17/2012
txn_443,TxUI162,TxUI7176,65374,9/25/2012
txn_444,TxUI125,TxUI14224,86776,4/10/2013
txn_445,TxUI149,TxUI224955,74058,12/19/2012
txn_446,TxUI177,TxUI151941,122212,3/22/2013
txn_447,TxUI116,TxUI222744,113002,11/19/2012
txn_448,TxUI192,TxUI149617,149054,4/11/2012
txn_449,TxUI153,TxUI51911,37702,4/18/2012
txn_450,TxUI127,TxUI149378,120694,4/16/2012
txn_451,TxUI191,TxUI131538,83874,4/19/2012
txn_452,TxUI192,TxUI175017,114734,2/26/2012
txn_453,TxUI131,TxUI15670,38200,1/5/2012
txn_454,TxUI180,TxUI991,195740,2/17/2012
txn_455,TxUI116,TxUI172447,118578,12/2/2011
txn_456,TxUI129,TxUI2253,34300,11/8/2011
txn_457,TxUI128,TxUI1597,116018,10/29/2011
txn_458,TxUI181,TxUI25552,36958,12/6/2011
txn_459,TxUI169,TxUI126746,157872,3/15/2013
txn_460,TxUI185,TxUI126123,182624,6/29/2011
txn_461,TxUI190,TxUI5794,110618,9/2/2011
txn_462,TxUI160,TxUI71020,116740,8/28/2011
txn_463,TxUI156,TxUI47293,60534,5/30/2011
txn_464,TxUI156,TxUI15290,196358,11/28/2012
txn_465,TxUI186,TxUI195272,121996,8/10/2011
txn_466,TxUI194,TxUI160654,119596,4/6/2011
txn_467,TxUI129,TxUI37989,165408,3/24/2011
txn_468,TxUI148,TxUI490,34888,3/15/2011
txn_469,TxUI137,TxUI56379,75830,8/9/2011
txn_470,TxUI114,TxUI11316,32240,11/29/2010
txn_471,TxUI121,TxUI74435,60605,12/27/2010
txn_472,TxUI137,TxUI62535,71274,12/27/2010
txn_473,TxUI140,TxUI342260,92686,1/4/2015
txn_474,TxUI134,TxUI342114,62841,1/1/2015
txn_475,TxUI156,TxUI341832,43960,12/23/2014
txn_476,TxUI160,TxUI340284,83660,12/23/2014
txn_477,TxUI122,TxUI25066,40301,12/23/2014
txn_478,TxUI137,TxUI24961,88036,12/9/2014
txn_479,TxUI177,TxUI242769,44279,12/23/2014
txn_480,TxUI7188H,TxUI430H,33965,11/27/2014
txn_481,TxUI430H,TxUI160H,47202,11/14/2014
txn_482,TxUI3134H,TxUI1H,10606,11/3/2014
txn_483,TxUI160H,TxUI3010H,60964,10/15/2014
txn_484,TxUI3010H,TxUI89H,11055,9/26/2014
txn_485,TxUI804H,TxUI1H,32939,6/26/2014
txn_486,TxUI1583H,TxUI1H,12710,6/13/2014
txn_487,TxUI95H,TxUI1H,85428,6/13/2014
txn_488,TxUI377H,TxUI1H,94400,6/8/2014
txn_489,TxUI888H,TxUI1H,69759,5/14/2014
txn_490,TxUI89H,TxUI161H,15693,5/12/2014
txn_491,TxUI89H,TxUI256H,80374,5/4/2014
txn_492,TxUI155,TxUI336731,81375,4/24/2014
txn_493,TxUI145,TxUI102473,83893,4/7/2014
txn_494,TxUI114,TxUI70954,30924,4/3/2014
txn_495,TxUI113,TxUI334983,69360,3/20/2014
txn_496,TxUI110,TxUI158088,13060,3/20/2014
txn_497,TxUI118,TxUI54595,86602,2/8/2014
txn_498,TxUI133,TxUI14690,21074,1/24/2014
txn_499,TxUI151,TxUI119853,39177,1/15/2014
txn_500,TxUI173,TxUI158934,63270,1/9/2014
txn_501,TxUI132,TxUI334195,90699,1/5/2014
txn_502,TxUI164,TxUI333982,49773,12/30/2013
txn_503,TxUI179,TxUI240214,39331,12/30/2013
txn_504,TxUI166,TxUI240177,70499,12/11/2013
txn_505,TxUI132,TxUI138292,86870,12/11/2013
txn_506,TxUI125,TxUI333591,23468,12/8/2013
txn_507,TxUI114,TxUI331792,90867,12/6/2013
txn_508,TxUI185,TxUI332944,68330,12/6/2013
txn_509,TxUI172,TxUI333245,66483,12/5/2013
txn_510,TxUI192,TxUI333075,29158,11/29/2013
txn_511,TxUI179,TxUI186752,11289,11/29/2013
txn_512,TxUI190,TxUI119723,96064,11/29/2013
txn_513,TxUI184,TxUI331949,56222,11/29/2013
txn_514,TxUI111,TxUI188528,13004,11/29/2013
txn_515,TxUI133,TxUI186236,47353,11/27/2013
txn_516,TxUI143,TxUI188658,53703,11/20/2013
txn_517,TxUI132,TxUI64995,88958,11/20/2013
txn_518,TxUI192,TxUI15473,25891,11/19/2013
txn_519,TxUI118,TxUI331678,11021,11/20/2013
txn_520,TxUI141,TxUI61745,81190,10/30/2013
txn_521,TxUI147,TxUI331360,58370,10/30/2013
txn_522,TxUI137,TxUI330079,88020,9/23/2013
